CellType_A,CellType_B,1_A_count,1_B_count,1_A→B,1_B→A,1_Asymmetry,2_A_count,2_B_count,2_A→B,2_B→A,2_Asymmetry,Observed_Diff
CD163+ macros,CD4+ T cells,14343,1920,84.47916666666667,22.087429408073625,62.39173725859305,25291,639,95.30516431924883,7.975169032462142,87.32999528678668,24.938258028193637
CD163+ macros,CD68+ macros,14343,1023,83.57771260997067,12.507843547375025,71.06986906259564,25291,3983,94.50163193572683,39.64651457040054,54.855117365326294,16.21475169726935
CD163+ macros,B cells,14343,10269,84.9644561301003,71.63076064979433,13.333695480305977,25291,2774,96.17880317231435,29.401763473172277,66.77703969914207,53.44334421883609
CD163+ macros,smooth muscle,14343,10949,81.75175815142936,74.62176671547095,7.129991435958402,25291,16868,92.98079203225042,86.66323988770709,6.317552144543328,0.8124392914150746
CD163+ macros,generic immune,14343,4799,81.97541154407169,45.72962420693021,36.24578733714148,25291,2278,93.76646180860403,24.593728994503973,69.17273281410006,32.92694547695858
CD163+ macros,NK cells,14343,34,82.35294117647058,0.40437844244579235,81.94856273402479,25291,289,96.53979238754326,3.9579296983116525,92.5818626892316,10.633299955206809
adipocytes,plasma cells,1101,3904,13.191598360655737,38.87375113533152,25.682152774675778,710,4606,7.90273556231003,41.267605633802816,33.36487007149279,7.68271729681701
adipocytes,CD8+ T cells,1101,6747,12.701941603675706,52.67938237965486,39.977440775979154,710,9928,7.796132151490734,68.30985915492957,60.51372700343884,20.536286227459684
adipocytes,Tregs,1101,906,12.030905077262693,9.264305177111716,2.766599900150977,710,1885,7.5331564986737405,18.732394366197184,11.199237867523443,8.432637967372466
adipocytes,CD4+ T cells,1101,1920,13.750000000000002,20.708446866485016,6.958446866485014,710,639,9.389671361502346,8.309859154929578,1.0798122065727682,5.878634659912246
adipocytes,CD68+ macros,1101,1023,14.858260019550343,14.259763851044504,0.5984961685058394,710,3983,7.858398192317349,36.33802816901409,28.47962997669674,27.8811338081909
adipocytes,B cells,1101,10269,13.029506281040023,66.39418710263398,53.36468082159396,710,2774,7.858687815428983,25.352112676056336,17.493424860627353,35.87125596096661
adipocytes,smooth muscle,1101,10949,12.147228057356836,71.57129881925522,59.424070761898385,710,16868,7.742470950912972,83.09859154929578,75.3561205983828,15.932049836484417
